"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated per-protocol (unweighted)","OR",6,-0.7,"strong",1.5,25,3.64748820237417,0.590302032313829,3.05718617006034,0.440807270254463,3.05718617006034,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.7,"strong",1.5,25,4.00799074202957,0.613030712967855,3.39496002906171,0.415191933450661,3.39496002906171,NA,100
"Federated per-protocol (unweighted)","OR",3,-0.5,"strong",1.5,25,4.60950349409569,0.644678273151436,3.96482522094426,0.825264370870514,3.96482522094426,NA,100
"Federated per-protocol (unweighted)","OR",6,-0.5,"strong",1.5,25,4.82181860639065,0.683912333173466,4.13790627321718,0.631526087269667,4.13790627321718,NA,100
"Federated per-protocol (unweighted)","OR",9,-0.5,"strong",1.5,25,4.99344110036433,0.699703830152394,4.29373727021194,0.562989985454485,4.29373727021194,NA,100
"Federated CCW","RMST_diff",3,-1,"medium",1,25,3.32247758092476,3.18571708170817,0.136760499216588,0.540060323886386,0.136760499216588,0.99,100
"Federated CCW","RMST_diff",6,-1,"medium",1,25,2.16806384051075,2.20326706849678,-0.0352032279860296,0.330428436200257,0.0352032279860296,0.98,100
"Federated CCW","RMST_diff",9,-1,"medium",1,25,1.79174246589061,1.80874496600453,-0.0170025001139204,0.289981256272435,0.0170025001139204,0.94,100
"Federated CCW","RMST_diff",3,-0.7,"medium",1,25,2.14452163605395,2.20438145520817,-0.0598598191542202,0.691761765228784,0.0598598191542202,0.91,100
"Federated CCW","RMST_diff",6,-0.7,"medium",1,25,1.4527242825246,1.54508103091512,-0.0923567483905232,0.524566037098651,0.0923567483905232,0.86,100
