"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Per-protocol (no IPTW)","RD",2,-0.5,"medium",1,25,0.0978855220410439,-0.0704769067816117,0.168362428822656,0.0132879946250008,0.168880764245684,NA,100
"Per-protocol (no IPTW)","RD",5,-0.5,"medium",1,25,0.129899209300774,-0.057593918015868,0.187493127316642,0.0143102506275677,0.188032997719198,NA,100
"Per-protocol (no IPTW)","RD",8,-0.5,"medium",1,25,0.151147194691663,-0.0512113647691539,0.202358559460817,0.0128361638352366,0.202761204420475,NA,100
"Per-protocol (no IPTW)","RD",2,-1,"strong",2,25,0.109947366290804,-0.158281734212093,0.268229100502897,0.0122904482057631,0.268507718552969,NA,100
"Per-protocol (no IPTW)","RD",5,-1,"strong",2,25,0.140875481442754,-0.129431014759885,0.270306496202639,0.0125203024830596,0.270593407687386,NA,100
"Per-protocol (no IPTW)","RD",8,-1,"strong",2,25,0.168408276288206,-0.111633512871676,0.280041789159882,0.0156892317607123,0.28047654830516,NA,100
"Per-protocol (no IPTW)","RD",2,-0.7,"strong",2,25,0.135674378263401,-0.102744180069684,0.238418558333084,0.0104902038154004,0.238646920973127,NA,100
"Per-protocol (no IPTW)","RD",5,-0.7,"strong",2,25,0.171948239671049,-0.0864289105015962,0.258377150172646,0.0147863595813988,0.258795675768958,NA,100
"Per-protocol (no IPTW)","RD",8,-0.7,"strong",2,25,0.201375016285702,-0.073695298677964,0.275070314963666,0.0102974150546195,0.275261066196165,NA,100
"Per-protocol (no IPTW)","RD",2,-0.5,"strong",2,25,0.153347506250777,-0.0679421293508451,0.221289635601622,0.0115043833832012,0.221585491748346,NA,100
"Per-protocol (no IPTW)","RD",5,-0.5,"strong",2,25,0.192485029601465,-0.0592813176469181,0.251766347248383,0.0125172933088357,0.252074214096276,NA,100
"Per-protocol (no IPTW)","RD",8,-0.5,"strong",2,25,0.220915404956976,-0.0495488313631018,0.270464236320078,0.0117232289063591,0.270715649498203,NA,100
"Federated CCW","RR",2,-1,"small",0.4,25,0.821029351688729,0.812875296768163,0.00815405492056665,0.035645222263227,0.0363918213770694,0.94,100
"Federated CCW","RR",5,-1,"small",0.4,25,0.863181349883478,0.857532775183329,0.00564857470014937,0.0226994880923031,0.0232813334712436,0.92,100
"Federated CCW","RR",8,-1,"small",0.4,25,0.883658296895723,0.880160884950332,0.00349741194539109,0.0131052479960792,0.0135004422188354,0.99,100
"Federated CCW","RR",2,-0.7,"small",0.4,25,0.882384591456163,0.875904798386529,0.00647979306963456,0.0360317411107169,0.0364320082073485,0.94,100
"Federated CCW","RR",5,-0.7,"small",0.4,25,0.903489442089176,0.903269582479312,0.00021985960986429,0.0186888536730337,0.0185964743256348,0.98,100
"Federated CCW","RR",8,-0.7,"small",0.4,25,0.915318508616582,0.91775550544168,-0.00243699682509789,0.0144049489835433,0.0145384484451346,0.97,100
"Federated CCW","RR",2,-0.5,"small",0.4,25,0.922517608114949,0.915401656935726,0.00711595117922339,0.0380611836369094,0.0385331535697405,0.95,100
"Federated CCW","RR",5,-0.5,"small",0.4,25,0.937971437604195,0.932909472527854,0.00506196507634102,0.0229889511577492,0.0234271305757692,0.91,100
