"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,6,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.14557877696445,0.218009298385175,2.14375207309794,0.216182594518665,-0.0018267038665094,-0.0018267038665094,0
1,7,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.105814491093797,-0.016808324709746,-0.105605340960125,-0.0165991745760734,0.00020915013367262,-0.00020915013367262,0
1,7,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.05475968569627,0.127190207116998,2.04976098158998,0.122191503010706,-0.004998704106292,-0.004998704106292,0
1,8,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.105912570174957,-0.0169064037909058,-0.105774252182185,-0.0167680857981342,0.000138317992771642,-0.000138317992771642,0
1,8,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.97562231646708,0.048052837887802,1.97307256327081,0.0455030846915356,-0.00254975319626638,-0.00254975319626638,0
1,9,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.102556704129236,-0.0135505377451849,-0.10246962712627,-0.013463460742219,8.70770029658408e-05,-8.70770029658408e-05,0
1,9,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.08320281533487,0.155633336755592,2.07979158733959,0.152222108760315,-0.0034112279952776,-0.0034112279952776,0
1,10,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0935457512558069,-0.00453958487175565,-0.093528576613236,-0.00452241022918476,1.71746425708941e-05,-1.71746425708941e-05,0
1,10,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.04757161184533,0.120002133266052,2.0469417763394,0.119372297760126,-0.000629835505925769,-0.000629835505925769,0
1,11,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0923435126186463,-0.00333734623459503,-0.0924871135728168,-0.00348094718876557,-0.000143600954170542,0.000143600954170542,0
1,11,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.97047293010986,0.0429034515305879,1.97200529344538,0.0444358148661088,0.00153236333552087,0.00153236333552087,0
1,12,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0818842993228162,0.00712186706123508,-0.0822780472065673,0.00672811917748395,-0.000393747883751128,-0.000393747883751128,0
1,12,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.80187643038193,-0.125693048197347,1.80748481517505,-0.120084663404226,0.00560838479312054,-0.00560838479312054,0
1,13,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0848018541114602,0.00420431227259099,-0.0851400578376935,0.00386610854635772,-0.000338203726233277,-0.000338203726233277,0
1,13,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.83044956879942,-0.0971199097798543,1.83435280122285,-0.0932166773564234,0.00390323242343094,-0.00390323242343094,0
1,14,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0867229500191951,0.00228321636485618,-0.0869046172675011,0.00210154911655014,-0.000181667248306039,-0.000181667248306039,0
1,14,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.80455230326398,-0.123017175315296,1.80648659002046,-0.12108288855881,0.00193428675648555,-0.00193428675648555,0
1,15,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0830445011005427,0.0059616652835085,-0.0832573314340954,0.00574883494995582,-0.000212830333552683,-0.000212830333552683,0
1,15,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.80658422266524,-0.120985255914031,1.8097602073841,-0.117809271195174,0.00317598471885638,-0.00317598471885638,0
1,16,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0820258830067166,0.00698028337733458,-0.0822616941598878,0.00674447222416341,-0.000235811153171173,-0.000235811153171173,0
1,16,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.79932581923458,-0.12824365934469,1.80227916838006,-0.125290310199212,0.00295334914547851,-0.00295334914547851,0
1,17,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0818175436428246,0.00718862274122667,-0.0819048827521559,0.00710128363189533,-8.73391093313414e-05,-8.73391093313414e-05,0
1,17,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.83085014683571,-0.0967193317435679,1.83327819880482,-0.0942912797744526,0.00242805196911533,-0.00242805196911533,0
1,18,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0845908392100637,0.00441532717398752,-0.0847949164220791,0.00421124996197209,-0.00020407721201543,-0.00020407721201543,0
1,18,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.94370721951992,0.0161377409406462,1.94663974614862,0.0190702675693419,0.0029325266286957,0.0029325266286957,0
1,19,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0908164735212573,-0.00181030713720609,-0.091077035536681,-0.00207086915262977,-0.000260562015423682,0.000260562015423682,0
1,19,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.01182054044404,0.0842510618647676,2.01694137925833,0.0893719006790565,0.00512083881428893,0.00512083881428893,0
1,20,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.102324804410953,-0.0133186380269016,-0.102542995062493,-0.0135368286784414,-0.000218190651539829,0.000218190651539829,0
1,20,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.13368217142921,0.206112692849937,2.1392178454854,0.211648366906129,0.00553567405619226,0.00553567405619226,0
1,21,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.103215600358418,-0.0142094339743667,-0.103272770474209,-0.0142666040901575,-5.71701157907611e-05,5.71701157907611e-05,0
1,21,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.14988817761393,0.222318699034656,2.15215051978638,0.224581041207106,0.00226234217245036,0.00226234217245036,0
1,22,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.106538868268888,-0.0175327018848368,-0.106147922703333,-0.0171417563192818,0.000390945565554968,-0.000390945565554968,0
1,22,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.22856332168443,0.300993843105157,2.22078139083806,0.293211912258785,-0.00778193084637202,-0.00778193084637202,0
1,23,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.101833167088956,-0.0128270007049052,-0.101582252166033,-0.0125760857819817,0.000250914922923506,-0.000250914922923506,0
1,23,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.05554978316508,0.127980304585801,2.05217622568922,0.124606747109942,-0.0033735574758591,-0.0033735574758591,0
1,24,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0936018394250858,-0.00459567304103459,-0.0932791728573223,-0.00427300647327111,0.000322666567763474,-0.000322666567763474,0
1,24,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.91636642166942,-0.0112030569098565,1.90874075837395,-0.0188287202053257,-0.00762566329546921,0.00762566329546921,0
